"Province","Country","WeekNum","Date","Beta","TransmissionInterval","R0"
"","Afghanistan",1,2020-03-01,0.05504787,18.1660071497771,4.39777825711821
"","Afghanistan",2,2020-03-08,0.06499897,15.3848591754608,5.19277234525293
"","Afghanistan",3,2020-03-15,0.1294373,7.72574829666564,10.3407551209536
"","Afghanistan",4,2020-03-22,0.28395,3.52174678640606,22.6847857348289
"","Afghanistan",5,2020-03-29,0.1808705,5.52881757942838,14.4497571341834
"","Afghanistan",6,2020-04-05,0.1231429,8.12064682576097,9.83789505640239
"","Afghanistan",7,2020-04-12,0.08969689,11.1486585543824,7.16589093407471
"","Afghanistan",8,2020-04-19,0.01921297,52.0481737076569,1.53492554245358
"","Albania",1,2020-03-12,0.2641443,3.78580949882318,4.87338249193794
"","Albania",2,2020-03-19,0.2378568,4.20421026432711,4.38838606287694
"","Albania",3,2020-03-26,0.1425486,7.01515132382921,2.62997858174591
"","Albania",4,2020-04-02,0.07312885,13.6744937189632,1.34920517779697
"","Albania",5,2020-04-09,0.04228299,23.6501723269807,0.780108384594281
"","Albania",6,2020-04-16,0.07754599,12.8955733236496,1.43070007562531
"","Albania",7,2020-04-23,0.09001125,11.1097223958116,1.66068035474341
"","Algeria",1,2020-02-29,0.123324,8.10872174110473,2.31060605350907
"","Algeria",2,2020-03-07,0.2549495,3.92234540565877,4.77674952190255
"","Algeria",3,2020-03-14,0.3776699,2.64781493044587,7.07604648866534
"","Algeria",4,2020-03-21,0.3531736,2.83146871680103,6.61708230433322
"","Algeria",5,2020-03-28,0.3383163,2.95581383456842,6.33871501719689
"","Algeria",6,2020-04-04,0.02889962,34.6025311059453,0.541465058837791
"","Algeria",7,2020-04-11,0.08225683,12.1570451961254,1.54116902906544
"","Algeria",8,2020-04-18,0.08353854,11.9705228269491,1.56518322650343
"","Andorra",1,2020-03-04,0.308698,3.23941198193704,16.1631552023758
"","Andorra",2,2020-03-11,0.4768641,2.09703351541875,24.9681839815654
"","Andorra",3,2020-03-18,0.5559572,1.79869961212842,29.10942898716
"","Andorra",4,2020-03-25,0.1419839,7.04305206435378,7.43415186343485
"","Andorra",5,2020-04-01,0.06570722,15.2190276806719,3.44037212672792
"","Andorra",6,2020-04-08,0.007285171,137.265137633695,0.381445132617794
"","Andorra",7,2020-04-15,0.003990924,250.568540017299,0.208961263153265
"","Andorra",8,2020-04-22,0.004008432,249.474108579115,0.209877966602213
"","Angola",1,2020-03-26,0.09619363,10.3956987588471,2.27066703490733
"","Angola",2,2020-04-02,0.231737,4.31523666915512,5.47019139072222
"","Angola",3,2020-04-09,0.03156931,31.67633375579,0.745198944376776
"","Angola",4,2020-04-16,0.02461708,40.6222021458272,0.581090370034652
"Anguilla","United_Kingdom",1,2020-03-30,0,Inf,0
"Anguilla","United_Kingdom",2,2020-04-06,0,Inf,0
"Anguilla","United_Kingdom",3,2020-04-13,0,Inf,0
"Anhui","China",1,2020-01-25,1.019547,0.980827759779588,16.0145155977647
"Anhui","China",2,2020-02-01,0.4804442,2.08140716445323,7.54656836296471
"Anhui","China",3,2020-02-08,0.03024957,33.0583211596066,0.475144559878726
"Anhui","China",4,2020-02-15,0.01014593,98.5616892685047,0.159367007346232
"Anhui","China",5,2020-02-22,0.003894326,256.783843982245,0.0611700534352812
"Anhui","China",6,2020-02-29,0.002441924,409.513154381545,0.0383564759511391
"Anhui","China",7,2020-03-07,0.002087382,479.06899647501,0.0327875140601593
"Anhui","China",8,2020-03-14,0.001381463,723.870273760499,0.0216993044570136
"Anhui","China",9,2020-03-21,0.00196874,507.939087944574,0.0309239470450536
"Anhui","China",10,2020-03-28,0.002226682,449.098703811321,0.0349755662272185
"Anhui","China",11,2020-04-04,0.003315,301.659125188537,0.0520703010323114
"Anhui","China",12,2020-04-11,0.003208703,311.652402855609,0.0504006428758011
"Anhui","China",13,2020-04-18,0.002235694,447.288403511393,0.0351171220501153
"","Antigua_and_Barbuda",1,2020-03-16,5.77538,0.173148779820549,588.489555226951
"","Antigua_and_Barbuda",2,2020-03-23,4.90713,0.203785104531569,500.01813753222
"","Antigua_and_Barbuda",3,2020-03-30,0.7027653,1.4229501655816,71.6091475930476
"","Antigua_and_Barbuda",4,2020-04-06,0.2119789,4.71745065192809,21.5998546551912
"","Antigua_and_Barbuda",5,2020-04-13,0.1850129,5.40502851422793,18.8521204201712
"","Argentina",1,2020-03-04,0.172186,5.80767309769668,6.02804564462797
"","Argentina",2,2020-03-11,0.265746,3.76299172894418,9.30348006154568
"","Argentina",3,2020-03-18,0.4244416,2.35603673155506,14.8592413917445
"","Argentina",4,2020-03-25,0.19951,5.01228008621122,6.98462933432292
"","Argentina",5,2020-04-01,0.1284795,7.78334286792835,4.49792834724646
"","Argentina",6,2020-04-08,0.06913031,14.4654349155964,2.42017739019015
"","Argentina",7,2020-04-15,0.07558366,13.2303728080911,2.64610219453406
