"dayNum","Confirmed","Active","Infected","Deaths","Recovered","Removed","Susceptible"
22,1,1,1,0,0,0,7699999999
23,1,1,1,0,0,0,7699999999
24,1,1,1,0,0,0,7699999999
25,2,2,2,0,0,0,7699999998
26,5,5,5,0,0,0,7699999995
27,5,5,5,0,0,0,7699999995
28,5,5,5,0,0,0,7699999995
29,5,5,5,0,0,0,7699999995
30,5,5,5,0,0,0,7699999995
31,6,6,6,0,0,0,7699999994
70,959,923,923,28,8,36,7699999041
71,1281,1237,1237,36,8,44,7699998719
72,1663,1611,1611,40,12,52,7699998337
73,2179,2120,2120,47,12,59,7699997821
74,2728,2662,2662,54,12,66,7699997272
75,3514,3439,3439,63,12,75,7699996486
76,4649,4547,4547,85,17,102,7699995351
77,6452,6327,6327,108,17,125,7699993548
78,7798,7574,7574,118,106,224,7699992202
79,13701,13393,13393,200,108,308,7699986299
80,19136,18745,18745,244,147,391,7699980864
81,25536,25057,25057,308,171,479,7699974464
82,33937,33505,33505,430,2,432,7699966063
83,43913,43349,43349,556,8,564,7699956087
84,54039,53319,53319,710,10,720,7699945961
85,66137,65181,65181,946,10,956,7699933863
86,84251,83028,83028,1213,10,1223,7699915749
87,102126,100530,100530,1586,10,1596,7699897874
88,122065,120006,120006,2032,27,2059,7699877935
89,141509,139007,139007,2475,27,2502,7699858491
