"Province","Country","Deaths","Recovered","DeathToRemovedRatio"
"Alabama","US",23,0,1
"Arizona","US",24,0,1
"California","US",173,0,1
"Colorado","US",69,0,1
"Connecticut","US",69,0,1
"Florida","US",85,0,1
"Georgia","US",111,0,1
"Illinois","US",99,0,1
"Indiana","US",49,0,1
"","jhu_rd_global_data",2975,0,1
"Louisiana","US",239,0,1
"Massachusetts","US",89,0,1
"Michigan","US",259,0,1
"Mississippi","US",20,0,1
"Nevada","US",26,0,1
"New_Jersey","US",267,0,1
"New_York","US",1550,0,1
"Ohio","US",55,0,1
"Oklahoma","US",23,0,1
"Pennsylvania","US",63,0,1
"South_Carolina","US",22,0,1
"Tennessee","US",23,0,1
"Texas","US",54,0,1
"Virginia","US",27,0,1
"Washington","US",225,0,1
"Wisconsin","US",25,0,1
"","Afghanistan",4,5,0.444444444444444
"","Albania",15,52,0.223880597014925
"","Algeria",44,46,0.488888888888889
"","Andorra",12,10,0.545454545454545
"Anhui","China",6,984,0.00606060606060606
"","Argentina",27,240,0.101123595505618
"","Armenia",3,30,0.0909090909090909
"Aruba","Netherlands",0,1,0
"Australian_Capital_Territory","Australia",1,3,0.25
"","Austria",128,1095,0.10466067048242
"","Azerbaijan",5,26,0.161290322580645
"","Bahrain",4,295,0.0133779264214047
"","Bangladesh",5,25,0.166666666666667
"Beijing","China",8,418,0.0187793427230047
"","Belarus",1,47,0.0208333333333333
"","Belgium",705,1696,0.29362765514369
"","Bolivia",6,0,1
"","Bosnia_and_Herzegovina",13,17,0.433333333333333
"","Brazil",201,127,0.61280487804878
"","Brunei",1,45,0.0217391304347826
"","Bulgaria",8,17,0.32
"","Burkina_Faso",14,32,0.304347826086957
"","Cambodia",0,23,0
"","Cameroon",6,5,0.545454545454545
"Channel_Islands","United_Kingdom",3,0,1
"","Chile",12,156,0.0714285714285714
"Chongqing","China",6,570,0.0104166666666667
"","Colombia",16,31,0.340425531914894
"","Congo_(Kinshasa)",8,2,0.8
"","Costa_Rica",2,4,0.333333333333333
"","Cote_d'Ivoire",1,7,0.125
"","Croatia",6,67,0.0821917808219178
"","Cuba",6,8,0.428571428571429
"","Cyprus",8,23,0.258064516129032
"","Czechia",31,45,0.407894736842105
"","Denmark",90,1,0.989010989010989
"","Diamond_Princess",10,603,0.0163132137030995
"","Dominican_Republic",51,5,0.910714285714286
"","Ecuador",75,54,0.581395348837209
"","Egypt",46,157,0.226600985221675
"","Estonia",4,26,0.133333333333333
"Faroe_Islands","Denmark",0,74,0
"","Finland",17,10,0.62962962962963
"","France",3523,9444,0.271689673787306
"Fujian","China",1,295,0.00337837837837838
"Gansu","China",2,125,0.015748031496063
"","Georgia",0,21,0
"","Germany",775,16100,0.0459259259259259
