"Province","Country","Deaths","Recovered","DeathToRemovedRatio"
"Alabama","US",23,0,1
"Arizona","US",24,0,1
"California","US",173,0,1
"Colorado","US",69,0,1
"Connecticut","US",69,0,1
"Florida","US",85,0,1
"Georgia","US",111,0,1
"Illinois","US",99,0,1
"Indiana","US",49,0,1
"","jhu_rd_global_data",2975,0,1
"Louisiana","US",239,0,1
"Massachusetts","US",89,0,1
"Michigan","US",259,0,1
"Mississippi","US",20,0,1
"Nevada","US",26,0,1
"New_Jersey","US",267,0,1
"New_York","US",1550,0,1
"Ohio","US",55,0,1
"Oklahoma","US",23,0,1
"Pennsylvania","US",63,0,1
"South_Carolina","US",22,0,1
"Tennessee","US",23,0,1
"Texas","US",54,0,1
"Virginia","US",27,0,1
"Washington","US",225,0,1
"Wisconsin","US",25,0,1
