"Province","Country","Deaths","Recovered","DeathPortion"
"","Albania",11,44,0.2
"","Algeria",35,37,0.486111111111111
"Anhui","China",6,984,0.00606060606060606
"","Argentina",23,228,0.0916334661354582
"","Armenia",3,30,0.0909090909090909
"","Austria",108,636,0.145161290322581
"","Azerbaijan",4,26,0.133333333333333
"","Bahrain",4,279,0.0141342756183746
"Beijing","China",8,415,0.0189125295508274
"","Belarus",0,32,0
"","Belgium",513,1527,0.251470588235294
"","Bosnia_and_Herzegovina",10,17,0.37037037037037
"","Brazil",159,120,0.56989247311828
"","Brunei",1,38,0.0256410256410256
"","Bulgaria",8,17,0.32
"","Burkina_Faso",12,31,0.27906976744186
"","Cambodia",0,21,0
"","Chile",8,156,0.0487804878048781
"Chongqing","China",6,570,0.0104166666666667
"","Colombia",12,15,0.444444444444444
"","Croatia",6,67,0.0821917808219178
"","Cyprus",7,22,0.241379310344828
"","Czechia",23,25,0.479166666666667
"","Dominican_Republic",42,4,0.91304347826087
"","Ecuador",60,3,0.952380952380952
"","Egypt",41,150,0.214659685863874
"","Estonia",3,20,0.130434782608696
"Faroe_Islands","Denmark",0,70,0
"","Finland",13,10,0.565217391304348
"Fujian","China",1,295,0.00337837837837838
"Gansu","China",2,125,0.015748031496063
"","Georgia",0,20,0
"","Germany",645,13500,0.0455991516436903
"Gibraltar","United_Kingdom",0,34,0
"","Greece",43,52,0.452631578947368
"Guadeloupe","France",4,17,0.19047619047619
"Guangdong","China",8,1351,0.00588668138337013
"Guangxi","China",2,250,0.00793650793650794
"Guizhou","China",2,144,0.0136986301369863
"Hainan","China",6,168,0.0344827586206897
"Hebei","China",6,310,0.0189873417721519
"Heilongjiang","China",13,469,0.0269709543568465
"Henan","China",22,1251,0.0172820109976434
"Hong_Kong","China",4,123,0.031496062992126
"Hubei","China",3186,62889,0.0482179341657208
"Hunan","China",4,1014,0.00392927308447937
"","Hungary",15,34,0.306122448979592
"","Iceland",2,157,0.0125786163522013
"","India",32,102,0.238805970149254
"","Indonesia",122,75,0.619289340101523
"Inner_Mongolia","China",1,74,0.0133333333333333
"","Iran",2757,13911,0.165406767458603
"","Iraq",46,152,0.232323232323232
"","Ireland",54,5,0.915254237288136
"","Israel",16,161,0.0903954802259887
"","Italy",11591,14620,0.442218915722407
"","Japan",54,424,0.112970711297071
"Jiangsu","China",0,631,0
"Jiangxi","China",1,935,0.00106837606837607
"Jilin","China",1,92,0.010752688172043
"","Jordan",5,26,0.161290322580645
"","Kazakhstan",1,21,0.0454545454545455
"","Korea,_South",158,5228,0.0293353137764575
"","Kuwait",0,72,0
"","Lebanon",11,35,0.239130434782609
"Liaoning","China",2,124,0.0158730158730159
"","Luxembourg",22,40,0.354838709677419
"","Malaysia",37,479,0.0717054263565891
"","Mexico",20,35,0.363636363636364
"","Morocco",33,15,0.6875
"","New_Zealand",1,63,0.015625
"Ningxia","China",0,75,0
"","Norway",32,12,0.727272727272727
"","Oman",0,29,0
"","Pakistan",21,76,0.216494845360825
"","Panama",24,4,0.857142857142857
"","Peru",24,53,0.311688311688312
"","Philippines",78,42,0.65
"","Poland",31,7,0.815789473684211
"","Portugal",140,43,0.765027322404372
"","Qatar",1,51,0.0192307692307692
"","Romania",65,209,0.237226277372263
"","Russia",9,66,0.12
"","San_Marino",25,13,0.657894736842105
"","Saudi_Arabia",8,115,0.0650406504065041
"","Senegal",0,27,0
"Shaanxi","China",3,242,0.0122448979591837
"Shandong","China",7,753,0.00921052631578947
"Shanghai","China",5,338,0.0145772594752187
"Shanxi","China",0,133,0
"Sichuan","China",3,536,0.00556586270871985
"","Singapore",3,228,0.012987012987013
"","Slovenia",11,10,0.523809523809524
"","South_Africa",3,31,0.0882352941176471
"","Spain",7716,16780,0.314990202482038
"","Sweden",146,16,0.901234567901235
"","Switzerland",359,1823,0.164527956003666
"","Taiwan#",5,39,0.113636363636364
"","Thailand",9,229,0.0378151260504202
"Tianjin","China",3,133,0.0220588235294118
"","Turkey",168,162,0.509090909090909
"","Ukraine",13,8,0.619047619047619
"","United_Arab_Emirates",5,61,0.0757575757575758
"","Venezuela",3,39,0.0714285714285714
"Victoria","Australia",4,191,0.0205128205128205
"","Vietnam",0,55,0
"Western_Australia","Australia",2,41,0.0465116279069767
"Xinjiang","China",3,73,0.0394736842105263
"Yunnan","China",2,172,0.0114942528735632
"Zhejiang","China",1,1225,0.000815660685154976
